IP,Time,Action,Status
192.168.1.1,10:00,login,failed
192.168.1.1,10:01,login,failed
192.168.1.1,10:02,login,failed
192.168.1.1,10:03,login,success
10.0.0.5,10:00,login,success
10.0.0.5,10:01,view,success
10.0.0.5,10:02,download,success
10.0.0.5,10:03,logout,success
172.16.0.2,10:00,login,failed
172.16.0.2,10:01,login,failed
172.16.0.2,10:02,login,failed
172.16.0.2,10:03,login,failed
172.16.0.2,10:04,login,failed
8.8.8.8,10:00,scan,failed
8.8.8.8,10:01,scan,failed
8.8.8.8,10:02,scan,failed
8.8.8.8,10:03,scan,failed
8.8.8.8,10:04,scan,failed
8.8.8.8,10:05,scan,failed
203.0.113.10,10:00,login,success
203.0.113.10,10:01,login,failed
203.0.113.10,10:02,login,success
203.0.113.10,10:03,login,failed
198.51.100.20,10:00,upload,success
198.51.100.20,10:01,upload,success
198.51.100.20,10:02,upload,success
198.51.100.20,10:03,upload,success
198.51.100.20,10:04,upload,success
10.10.10.10,10:00,login,failed
10.10.10.10,10:01,login,failed
10.10.10.10,10:02,login,success
10.10.10.10,10:03,login,failed
10.10.10.10,10:04,login,failed
10.10.10.10,10:05,login,failed
10.10.10.10,10:06,login,failed
192.0.2.50,10:00,request,success
192.0.2.50,10:01,request,success
192.0.2.50,10:02,request,success
192.0.2.50,10:03,request,success
192.0.2.50,10:04,request,success
192.0.2.50,10:05,request,success
192.0.2.50,10:06,request,success
127.0.0.1,10:00,login,success
127.0.0.1,10:01,login,success
127.0.0.1,10:02,login,success
